Protein A,Protein B,GO similarity under BP term,GO similarity under MF term,GO similarity under CC term,Combined Score
YBR020W,YML051W,0.187,0.094,0.506,998.0
YBR020W,YML057W,0.293,0.407,0.546,
YBR020W,YML064C,0.187,0.11,0.373,485.0
YBR020W,YML115C,0.087,0.35,0.157,284.0
YBR020W,YMR059W,0.269,0.138,0.234,
YBR020W,YMR094W,0.083,0.097,0.398,
YBR020W,YMR106C,0.154,0.407,0.398,292.0
YBR020W,YMR117C,0.105,0.181,0.235,287.0
YBR020W,YMR284W,0.317,0.109,0.506,293.0
YBR020W,YNL032W,0.452,0.207,1.0,
YBR020W,YNL061W,0.256,0.262,0.543,
YBR020W,YNL090W,0.109,0.185,0.234,179.0
YBR020W,YNL161W,0.128,0.842,0.513,
YBR020W,YNL250W,0.246,0.047,0.506,
YBR020W,YNL323W,0.12,0.132,0.0,175.0
YBR020W,YNR031C,0.548,0.69,0.729,
YBR020W,YOL100W,0.102,0.771,0.506,
YBR020W,YOL115W,0.263,0.274,0.784,
YBR020W,YOL133W,0.107,0.557,1.0,
YBR020W,YOL139C,0.239,0.087,0.506,193.0
YBR020W,YOR181W,0.066,0.122,0.34,
YBR020W,YOR212W,0.074,0.181,0.429,372.0
YBR020W,YOR276W,0.074,0.234,0.588,
YBR020W,YPL149W,0.088,0.407,0.537,
YBR020W,YPL150W,0.548,1.0,0.314,
YBR020W,YPL164C,0.234,0.047,0.305,
YBR020W,YPL240C,0.117,0.146,1.0,475.0
YBR020W,YPR093C,0.062,0.557,1.0,
YBR020W,YPR110C,0.075,0.111,0.295,
YBR021W,YHR042W,0.041,0.205,0.125,
YBR021W,YOR128C,0.033,0.205,0.234,252.0
YBR023C,YHR123W,0.073,0.538,1.0,157.0
YBR023C,YJR117W,0.138,0.59,0.346,482.0
YBR023C,YLR242C,0.144,0.477,0.092,353.0
YBR024W,YBR037C,1.0,1.0,0.82,659.0
YBR024W,YHL042W,0.209,0.255,0.133,
YBR024W,YPR119W,0.06,0.092,0.542,163.0
YBR025C,YBR055C,0.189,0.1,0.358,174.0
YBR025C,YBR198C,0.148,0.106,0.506,180.0
YBR025C,YDR398W,0.192,0.1,0.331,249.0
YBR025C,YKL081W,0.218,0.191,0.672,795.0
YBR025C,YMR059W,0.183,0.028,0.234,427.0
YBR025C,YNL088W,0.191,0.034,0.506,658.0
YBR025C,YNL207W,0.22,1.0,0.506,217.0
YBR025C,YOL090W,0.183,0.477,0.506,602.0
YBR027C,YKL130C,0.0,0.0,0.0,161.0
YBR027C,YLR353W,0.0,0.0,0.0,420.0
YBR027C,YMR047C,0.0,0.0,0.0,
YBR027C,YOR046C,0.0,0.0,0.0,161.0
YBR028C,YBR084W,0.22,0.041,0.599,193.0
YBR028C,YCR016W,0.126,0.1,0.506,271.0
YBR028C,YER015W,0.22,0.08,0.599,403.0
YBR028C,YHR135C,1.0,0.477,0.425,324.0
YBR028C,YLR447C,0.044,0.022,0.355,
YBR028C,YOL041C,0.267,0.477,0.331,245.0
YBR029C,YCR061W,0.165,0.255,0.467,
YBR033W,YNL228W,0.0,0.0,0.0,163.0
YBR034C,YDR249C,0.099,0.323,0.218,171.0
YBR034C,YER017C,0.216,0.047,0.166,172.0
YBR034C,YGR165W,0.152,0.181,0.472,250.0
YBR034C,YGR181W,0.227,0.146,0.484,181.0
YBR034C,YIL061C,0.183,0.111,0.662,561.0
YBR034C,YJR022W,0.157,0.111,0.598,234.0
YBR034C,YMR048W,0.084,0.323,1.0,302.0
YBR034C,YNL078W,0.02,0.323,0.276,
YBR034C,YPR132W,0.127,0.181,0.506,224.0
YBR035C,YDL101C,0.134,0.59,0.484,
YBR035C,YNL189W,0.046,0.214,0.484,
YBR036C,YBR106W,0.057,0.643,0.171,
YBR036C,YBR159W,0.454,0.234,0.854,241.0
YBR036C,YBR161W,0.841,0.205,0.346,926.0
YBR036C,YCL052C,0.151,0.205,0.61,177.0
YBR036C,YCR034W,0.037,0.185,0.61,509.0
YBR036C,YDL015C,0.378,0.34,0.61,485.0
YBR036C,YDL212W,0.223,0.276,0.61,723.0
YBR036C,YDR062W,0.378,0.34,0.603,876.0
YBR036C,YDR276C,0.044,0.643,0.171,265.0
YBR036C,YDR307W,0.392,0.643,0.346,163.0
YBR036C,YEL027W,0.093,0.151,0.618,673.0
YBR036C,YEL063C,0.05,0.115,0.247,158.0
YBR036C,YER026C,0.489,0.185,0.61,461.0
YBR036C,YGL051W,0.044,0.643,0.54,
YBR036C,YGR284C,0.056,0.208,0.346,
YBR036C,YHL003C,0.378,0.185,0.171,570.0
YBR036C,YHR026W,0.044,0.151,0.171,
YBR036C,YHR110W,0.037,0.643,0.346,165.0
YBR036C,YHR140W,0.08,0.643,0.171,
YBR036C,YIL016W,0.223,0.276,0.418,
YBR036C,YIL114C,0.024,0.1,0.529,
YBR036C,YJL196C,0.443,0.185,0.171,199.0
YBR036C,YJL214W,0.063,0.148,0.346,165.0
YBR036C,YJR117W,0.181,0.34,1.0,
YBR036C,YKL065C,0.044,0.643,0.61,
YBR036C,YKL154W,0.046,0.276,1.0,
YBR036C,YLL048C,0.183,0.08,0.346,
YBR036C,YLR018C,0.123,0.34,0.346,
YBR036C,YLR372W,0.841,0.34,0.346,658.0
YBR036C,YML048W,0.03,0.276,1.0,280.0
YBR036C,YMR215W,0.089,0.34,0.249,
YBR036C,YMR306W,0.296,0.154,0.514,
YBR036C,YNL044W,0.056,0.643,0.61,186.0
YBR036C,YOR016C,0.044,0.643,0.854,
YBR036C,YPL076W,0.525,0.34,0.346,
YBR036C,YPL227C,0.392,0.154,0.61,
YBR036C,YPL264C,0.08,0.643,0.346,
YBR036C,YPR198W,0.044,0.236,0.171,199.0
YBR037C,YPR079W,0.391,0.207,0.496,151.0
YBR038W,YBR160W,0.066,0.218,0.107,686.0
YBR038W,YHR123W,0.305,0.234,1.0,179.0
YBR038W,YNL307C,0.061,0.489,0.363,395.0
YBR038W,YPL020C,0.066,0.289,0.372,
YBR038W,YPR106W,0.092,0.248,0.363,749.0
YBR039W,YBR093C,0.118,0.105,0.092,330.0
YBR039W,YDL029W,0.042,0.022,0.373,
YBR039W,YDL047W,0.09,0.215,0.421,232.0
YBR039W,YDL059C,0.308,0.058,0.474,
YBR039W,YDL145C,0.027,0.073,0.421,
YBR039W,YDR523C,0.119,0.07,0.474,
YBR039W,YER171W,0.154,0.265,0.455,
YBR039W,YFR028C,0.09,0.091,0.181,
YBR039W,YGL237C,0.233,0.058,0.394,
YBR039W,YGR104C,0.275,0.048,0.474,292.0
YBR039W,YHR197W,0.022,0.058,0.445,
YBR039W,YIL106W,0.09,0.04,0.421,214.0
YBR039W,YJR068W,0.056,0.23,0.373,
YBR039W,YJR121W,0.89,0.887,0.125,999.0
YBR039W,YKR036C,0.033,0.092,0.64,
YBR039W,YML058W,0.033,0.058,0.474,
YBR039W,YMR059W,0.158,0.079,0.207,
YBR039W,YMR106C,0.033,0.215,0.455,
YBR039W,YOL087C,0.033,0.04,0.421,
YBR039W,YPL256C,0.09,0.04,0.421,
YBR039W,YPR106W,0.033,0.07,0.114,163.0
YBR040W,YCL040W,0.064,0.207,0.13,307.0
YBR040W,YHL002W,0.041,0.323,0.092,
YBR041W,YDL153C,0.034,0.283,0.126,
YBR042C,YER081W,0.59,0.108,0.506,
YBR042C,YHR115C,0.094,0.481,0.506,163.0
YBR043C,YGR074W,0.05,0.119,0.082,198.0
YBR043C,YGR157W,0.045,0.186,0.549,
YBR043C,YJL155C,0.065,0.084,0.157,180.0
YBR044C,YBR221C,0.206,0.088,0.64,667.0
YBR044C,YDL093W,0.504,0.154,0.491,
YBR044C,YHR042W,0.23,0.096,0.546,162.0
YBR044C,YJR022W,0.417,0.513,0.402,242.0
YBR044C,YKL004W,0.406,0.096,0.207,191.0
YBR044C,YKL141W,0.05,0.192,0.708,761.0
YBR044C,YKL148C,0.403,0.088,0.708,749.0
YBR044C,YLL041C,0.206,0.088,0.708,654.0
YBR045C,YDR103W,0.053,0.122,0.401,237.0
YBR045C,YER054C,0.122,0.112,0.28,963.0
YBR045C,YER133W,0.128,0.141,0.143,989.0
YBR045C,YMR001C,0.064,0.07,0.236,380.0
YBR045C,YOR178C,0.071,0.428,0.28,930.0
YBR047W,YER022W,0.062,0.323,0.41,
YBR047W,YJL128C,0.126,0.1,0.25,163.0
YBR049C,YDR130C,0.054,0.209,0.402,236.0
YBR049C,YDR303C,0.044,0.133,0.661,956.0
YBR049C,YGL234W,0.374,0.111,0.383,694.0
YBR049C,YGR274C,0.149,0.871,0.682,672.0
YBR049C,YKR001C,0.058,0.243,0.42,715.0
YBR049C,YLR176C,0.813,1.0,0.383,849.0
YBR049C,YLR357W,0.072,0.06,0.644,863.0
YBR049C,YMR091C,0.051,0.06,0.661,673.0
YBR049C,YNL189W,0.018,0.133,0.661,
YBR049C,YOL006C,0.353,0.111,0.661,675.0
YBR049C,YPL082C,0.768,0.076,0.661,855.0
YBR049C,YPR110C,0.029,1.0,0.743,618.0
YBR050C,YBR109C,0.047,0.105,0.268,292.0
YBR050C,YDR099W,0.176,0.146,0.342,269.0
YBR050C,YER133W,0.056,0.181,0.259,979.0
YBR050C,YNR052C,0.234,0.061,0.604,307.0
YBR052C,YDR032C,0.329,0.145,0.138,999.0
YBR053C,YLR310C,0.09,0.477,0.308,229.0
YBR054W,YBR159W,0.086,0.323,0.239,
YBR054W,YBR302C,1.0,1.0,0.549,
YBR054W,YCL038C,0.146,1.0,1.0,188.0
YBR054W,YDR190C,0.142,0.122,0.059,161.0
YBR054W,YGL022W,0.095,0.383,0.218,
YBR054W,YHR072W,0.244,0.283,0.117,
YBR054W,YJR010C-A,0.256,1.0,1.0,
YBR054W,YJR091C,0.097,0.235,0.205,
YBR054W,YKR039W,0.213,0.282,0.602,150.0
YBR054W,YLR372W,0.096,0.477,1.0,186.0
YBR054W,YNL048W,0.206,0.255,1.0,
YBR054W,YNR017W,0.136,0.283,0.216,
YBR054W,YOR016C,0.383,1.0,0.239,
YBR054W,YOR040W,0.1,0.323,0.099,183.0
YBR054W,YOR254C,0.08,0.383,0.117,
YBR055C,YBR121C,0.41,0.1,0.438,222.0
YBR055C,YBR126C,0.167,0.383,0.358,
YBR055C,YBR127C,0.037,0.089,0.154,
YBR055C,YBR133C,0.063,0.323,0.358,234.0
YBR055C,YBR149W,0.118,0.477,0.358,195.0
YBR055C,YBR152W,0.79,0.282,0.298,998.0
YBR055C,YBR169C,0.367,0.174,0.358,191.0
YBR055C,YBR196C,0.224,0.477,0.476,
YBR055C,YCL018W,0.165,0.283,0.298,
YBR055C,YCL040W,0.143,0.207,0.298,
YBR055C,YCL043C,0.086,0.283,0.432,163.0
YBR055C,YCR002C,0.118,0.1,0.402,165.0
YBR055C,YCR053W,0.296,0.283,0.358,165.0
YBR055C,YDL064W,0.254,0.255,0.598,262.0
YBR055C,YDL078C,0.214,0.477,0.428,206.0
YBR055C,YDL124W,0.118,0.477,0.358,186.0
YBR055C,YDL126C,0.413,0.1,0.362,
YBR055C,YDL229W,0.063,0.1,0.358,
YBR055C,YDR037W,0.41,0.318,0.358,184.0
YBR055C,YDR099W,0.149,0.383,0.598,
YBR055C,YDR129C,0.064,0.243,0.196,195.0
YBR055C,YDR158W,0.296,0.477,0.358,163.0
YBR055C,YDR283C,0.227,0.255,0.407,806.0
YBR055C,YDR353W,0.086,0.477,0.358,161.0
YBR055C,YDR473C,1.0,1.0,1.0,999.0
YBR055C,YEL034W,0.175,0.282,0.407,
YBR055C,YER003C,0.229,0.283,0.358,186.0
YBR055C,YER043C,0.219,0.283,0.358,
YBR055C,YER091C,0.157,0.219,0.219,
YBR055C,YER146W,0.554,0.282,0.598,999.0
YBR055C,YER165W,0.055,0.22,0.358,
YBR055C,YER172C,0.847,0.477,0.8,999.0
YBR055C,YFL017W-A,0.79,0.282,1.0,999.0
YBR055C,YFR053C,0.162,0.217,0.298,
YBR055C,YGL202W,0.214,0.216,0.358,165.0
YBR055C,YGL206C,0.046,0.643,0.385,
YBR055C,YGL245W,0.347,0.255,0.35,319.0
YBR055C,YGL253W,0.143,0.1,0.476,
YBR055C,YGR061C,0.264,0.643,0.358,209.0
YBR055C,YGR074W,0.847,0.282,1.0,999.0
YBR055C,YGR091W,1.0,0.282,0.476,999.0
YBR055C,YGR094W,0.401,0.251,0.358,188.0
YBR055C,YGR155W,0.157,0.283,0.358,
YBR055C,YGR204W,0.279,0.323,0.358,186.0
YBR055C,YGR240C,0.264,0.1,0.358,
YBR055C,YGR254W,0.052,0.283,0.358,
YBR055C,YHR019C,0.401,0.255,0.358,171.0
YBR055C,YHR064C,0.319,0.251,0.358,174.0
YBR055C,YHR165C,0.676,0.235,1.0,999.0
YBR055C,YHR183W,0.229,0.477,0.358,
YBR055C,YHR208W,0.189,0.643,0.476,206.0
YBR055C,YJL034W,0.065,0.1,0.457,
YBR055C,YJL052W,0.193,0.283,0.358,
YBR055C,YJL080C,0.049,0.318,0.598,173.0
YBR055C,YJL138C,0.347,0.1,0.219,361.0
YBR055C,YJL167W,0.158,0.477,0.358,165.0
YBR055C,YJR009C,0.265,0.283,0.476,
YBR055C,YJR022W,1.0,0.282,1.0,999.0
YBR055C,YJR104C,0.253,0.304,0.598,
YBR055C,YJR105W,0.159,0.234,0.358,163.0
YBR055C,YJR139C,0.165,0.283,0.598,165.0
YBR055C,YKL035W,0.167,0.234,0.219,
YBR055C,YKL060C,0.193,0.477,0.476,
YBR055C,YKL081W,0.347,0.235,0.35,
YBR055C,YKL085W,0.118,0.477,0.476,
YBR055C,YKL157W,0.272,0.323,0.244,195.0
YBR055C,YKL210W,0.338,0.643,0.358,
YBR055C,YLL018C,0.41,0.255,0.598,221.0
YBR055C,YLL026W,0.327,0.1,0.286,161.0
YBR055C,YLR044C,0.208,0.643,0.598,
YBR055C,YLR147C,0.847,0.282,0.8,999.0
YBR055C,YLR153C,0.089,0.1,0.598,165.0
YBR055C,YLR259C,0.327,0.383,0.476,
YBR055C,YLR304C,0.096,0.283,0.298,
YBR055C,YLR355C,0.096,0.477,0.476,
YBR055C,YLR432W,0.158,0.283,0.358,175.0
YBR055C,YLR446W,0.264,0.1,0.136,161.0
YBR055C,YMR012W,0.113,0.235,0.358,167.0
YBR055C,YMR105C,0.227,0.283,0.358,
YBR055C,YMR120C,0.264,0.643,0.298,186.0
YBR055C,YMR186W,0.367,0.383,0.476,
YBR055C,YMR205C,0.193,0.207,0.476,
YBR055C,YNL147W,0.508,0.282,0.563,998.0
YBR055C,YNR001C,0.228,0.255,0.438,
YBR055C,YOR120W,0.118,0.283,0.358,195.0
YBR055C,YOR133W,0.347,0.235,0.358,684.0
YBR055C,YOR136W,0.228,0.283,0.476,
YBR055C,YOR159C,0.847,0.282,1.0,999.0
YBR055C,YOR335C,0.401,0.255,0.358,184.0
YBR055C,YOR374W,0.111,0.283,0.476,
YBR055C,YOR375C,0.118,0.323,0.598,
YBR055C,YPL004C,0.049,0.477,0.358,153.0
YBR055C,YPL028W,0.164,0.323,0.358,225.0
YBR055C,YPL061W,0.118,0.283,0.476,
YBR055C,YPL240C,0.198,0.383,0.358,
YBR055C,YPR082C,0.118,1.0,1.0,999.0
YBR055C,YPR160W,0.189,0.255,0.358,
YBR055C,YPR178W,0.79,1.0,0.598,999.0
YBR055C,YPR182W,1.0,1.0,1.0,999.0
YBR056W,YFR007W,0.26,0.407,0.314,163.0
YBR057C,YCL055W,0.037,0.262,0.611,799.0
YBR057C,YDR034C,0.086,0.328,0.611,
YBR057C,YDR206W,0.051,0.477,0.331,239.0
YBR057C,YGL192W,0.222,0.262,0.331,967.0
YBR057C,YIL144W,0.39,0.262,0.636,335.0
YBR057C,YKL098W,0.167,0.477,0.124,420.0
YBR057C,YKR031C,0.325,0.34,0.611,694.0
YBR057C,YLR222C,0.074,0.328,0.248,174.0
YBR058C,YGR268C,0.052,0.383,1.0,
YBR058C,YMR309C,0.237,0.173,0.515,621.0
YBR058C,YOL059W,0.139,0.284,1.0,163.0
YBR058C,YOL064C,0.127,0.387,0.506,161.0
YBR058C,YOL086C,0.187,0.481,1.0,563.0
YBR058C,YOL113W,0.092,0.128,0.506,171.0
YBR058C,YOL132W,0.077,0.328,0.351,161.0
YBR058C,YOL156W,0.03,0.214,0.234,161.0
YBR058C,YOR123C,0.249,0.173,0.506,161.0
YBR058C-A,YGR038W,0.357,0.477,0.64,998.0
YBR058C-A,YLR350W,0.214,0.477,0.631,997.0
YBR058C-A,YMR296C,0.627,0.262,0.654,999.0
YBR059C,YBR118W,0.031,0.067,0.401,
YBR059C,YCL032W,0.065,0.094,0.401,339.0
YBR059C,YER144C,0.649,0.162,0.396,994.0
YBR059C,YER177W,0.08,0.073,0.401,675.0
YBR059C,YFR014C,0.094,1.0,0.401,489.0
YBR059C,YGL213C,0.244,0.242,0.29,394.0
YBR059C,YGR199W,0.509,0.306,0.308,161.0
YBR059C,YIL095W,0.076,0.89,0.401,603.0
YBR059C,YIR006C,0.065,0.102,0.183,868.0
YBR059C,YJL039C,0.102,0.14,0.29,161.0
YBR059C,YJL098W,0.138,0.242,0.264,177.0
YBR059C,YJR045C,0.044,0.088,0.264,171.0
YBR059C,YML014W,0.177,0.358,0.401,174.0
YBR059C,YMR144W,0.126,0.242,0.29,161.0
YBR059C,YNL020C,0.076,0.89,0.345,390.0
YBR059C,YNL243W,0.076,0.102,0.183,694.0
YBR059C,YOR061W,0.096,0.89,0.182,165.0
YBR059C,YPR033C,0.313,0.088,0.401,163.0
YBR060C,YBR160W,0.161,0.128,0.35,992.0
YBR060C,YHR118C,0.425,0.298,1.0,999.0
YBR060C,YJL194W,0.912,0.59,0.357,999.0
YBR060C,YLL004W,1.0,0.367,1.0,999.0
YBR060C,YLR117C,0.182,0.262,0.559,338.0
YBR060C,YML065W,1.0,0.148,1.0,999.0
YBR060C,YNL261W,0.385,0.148,1.0,999.0
YBR060C,YPR162C,0.425,0.298,1.0,999.0
YBR061C,YBR300C,0.0,0.0,0.0,161.0
YBR061C,YDR383C,0.093,0.255,0.506,279.0
YBR061C,YDR461W,0.048,0.077,0.234,
YBR061C,YER028C,0.089,0.036,0.307,234.0
YBR061C,YGR182C,0.0,0.0,0.0,
YBR061C,YGR195W,0.599,0.255,1.0,292.0
YBR061C,YGR201C,0.094,0.255,0.314,
YBR061C,YGR219W,0.0,0.0,0.0,161.0
YBR061C,YGR235C,0.066,0.255,0.421,161.0
YBR061C,YGR277C,0.166,0.538,1.0,207.0
YBR061C,YHL011C,0.232,0.294,0.112,291.0
YBR061C,YHR008C,0.085,0.209,0.599,217.0
YBR061C,YHR022C,0.065,0.255,0.314,173.0
YBR061C,YHR026W,0.052,0.05,0.234,
YBR061C,YHR058C,0.331,0.083,0.343,
YBR061C,YHR059W,0.094,0.255,0.599,191.0
YBR061C,YJL016W,0.094,0.255,1.0,
YBR061C,YJL097W,0.162,0.174,0.507,175.0
YBR061C,YJL140W,0.433,0.253,0.506,
YBR061C,YJL166W,0.058,0.119,0.599,
YBR063C,YDR369C,0.095,0.282,0.166,165.0
YBR064W,YJL159W,0.0,0.0,0.0,497.0
YBR064W,YOR317W,0.0,0.0,0.0,161.0
YBR065C,YER081W,0.118,0.227,0.416,
YBR065C,YLL036C,0.847,0.477,0.688,999.0
YBR065C,YLR117C,0.658,0.477,0.844,999.0
YBR065C,YMR213W,0.79,0.477,0.199,999.0
YBR065C,YPL151C,1.0,1.0,1.0,999.0
YBR065C,YPR182W,1.0,1.0,0.764,998.0
YBR066C,YDR477W,0.116,0.084,1.0,806.0
YBR066C,YJR091C,0.192,0.196,0.382,
YBR067C,YJR091C,0.078,0.087,0.178,
YBR067C,YNL237W,0.21,0.323,0.549,235.0
YBR067C,YPR138C,0.054,0.067,0.529,176.0
YBR068C,YDL212W,0.046,0.087,0.092,527.0
YBR068C,YDR046C,1.0,1.0,1.0,265.0
YBR068C,YFR024C-A,0.171,0.182,0.157,250.0
YBR068C,YJR001W,0.437,0.76,0.099,180.0
YBR068C,YOR133W,0.037,0.051,0.157,
YBR069C,YCR034W,0.37,0.053,0.125,159.0
YBR069C,YDL015C,0.142,0.108,0.125,272.0
YBR069C,YDL043C,0.028,0.068,0.114,619.0
YBR069C,YDL199C,0.437,0.411,1.0,264.0
YBR069C,YDR171W,0.069,0.087,0.234,607.0
YBR069C,YER110C,0.072,0.333,0.193,611.0
YBR069C,YFR024C-A,0.171,0.182,0.234,229.0
YBR069C,YGL051W,0.437,0.182,0.125,
YBR069C,YGL200C,0.333,0.182,0.549,218.0
YBR069C,YGR218W,0.321,0.333,0.549,699.0
YBR069C,YGR284C,0.333,0.068,0.549,
YBR069C,YHR020W,0.052,0.032,0.234,619.0
YBR069C,YHR110W,0.37,0.182,0.549,176.0
YBR069C,YHR114W,0.32,0.108,0.234,243.0
YBR069C,YJL117W,0.437,0.087,1.0,
YBR069C,YJR010C-A,0.058,0.182,0.549,
YBR069C,YJR077C,0.449,0.239,0.136,626.0
YBR069C,YKL065C,0.437,0.182,0.125,
YBR069C,YLR044C,0.047,0.138,0.166,597.0
YBR069C,YLR343W,0.061,0.072,0.529,
YBR069C,YLR372W,0.066,0.108,0.549,173.0
YBR069C,YML048W,0.114,0.087,0.171,
YBR069C,YNL064C,0.437,0.072,0.234,627.0
YBR069C,YOL109W,0.053,0.182,0.136,189.0
YBR069C,YOR016C,0.437,0.182,0.205,
YBR069C,YPL233W,0.161,0.182,0.126,617.0
YBR069C,YPR198W,0.437,0.305,1.0,359.0
YBR070C,YJL019W,0.038,0.289,0.445,163.0
YBR072W,YBR094W,0.189,0.235,1.0,
YBR072W,YBR103W,0.149,0.235,0.506,154.0
YBR072W,YBR109C,0.153,0.165,0.396,
YBR072W,YBR114W,0.074,0.505,0.47,
YBR072W,YBR160W,0.115,0.059,0.511,157.0
YBR072W,YBR198C,0.076,0.196,0.506,228.0
YBR072W,YBR217W,0.136,0.087,1.0,
YBR072W,YCR002C,0.206,0.191,0.406,
YBR072W,YCR005C,0.065,0.063,0.599,443.0
YBR072W,YCR009C,0.053,0.298,1.0,
YBR072W,YCR077C,0.077,0.785,0.515,
YBR072W,YCR084C,0.042,0.087,0.506,
YBR072W,YDL029W,0.063,0.191,0.379,
YBR072W,YDL047W,0.206,0.133,1.0,
YBR072W,YDL059C,0.075,0.298,0.506,
YBR072W,YDL101C,0.097,0.133,0.506,
YBR072W,YDL145C,0.056,0.172,1.0,
YBR072W,YDL179W,0.206,0.165,0.738,
YBR072W,YDL193W,0.092,0.087,0.565,
YBR072W,YDL200C,0.118,0.063,0.506,
YBR072W,YDL225W,0.206,0.191,0.396,
YBR072W,YDL239C,0.174,0.235,0.373,158.0
YBR072W,YDR128W,0.189,0.235,0.388,
YBR072W,YDR142C,0.081,0.142,0.784,
YBR072W,YDR200C,0.068,0.235,0.599,
YBR072W,YDR227W,0.036,0.589,0.254,
YBR072W,YDR267C,0.081,0.235,0.506,
YBR072W,YDR339C,0.065,0.235,0.543,
YBR072W,YDR398W,0.081,0.235,0.331,
YBR072W,YDR523C,0.097,0.067,0.506,
YBR072W,YEL056W,0.149,0.047,0.506,
YBR072W,YER012W,0.087,0.058,1.0,
YBR072W,YER059W,0.088,0.165,0.506,
YBR072W,YER066C-A,0.0,0.0,0.0,
YBR072W,YER133W,0.206,0.133,0.235,
YBR072W,YER171W,0.101,0.032,0.398,
YBR072W,YFL034C-B,0.206,0.073,1.0,
YBR072W,YFR028C,0.206,0.055,0.396,
YBR072W,YFR040W,0.116,0.235,1.0,
YBR072W,YGL004C,0.045,0.235,1.0,
YBR072W,YGL137W,0.056,0.196,0.565,
YBR072W,YGL208W,0.097,0.052,0.425,
YBR072W,YGR083C,0.077,0.587,0.672,
YBR072W,YGR092W,0.097,0.059,0.373,
YBR072W,YGR262C,0.1,0.059,0.621,
YBR072W,YHR030C,0.157,0.409,0.396,
YBR072W,YHR107C,0.096,0.227,0.43,
YBR072W,YHR120W,0.196,0.409,0.599,
YBR072W,YHR135C,0.097,0.409,0.425,
YBR072W,YHR186C,0.271,0.196,0.549,
YBR072W,YHR199C,0.189,0.235,0.599,
YBR072W,YIL007C,0.088,0.235,0.784,340.0
YBR072W,YIL035C,0.097,0.059,0.621,
YBR072W,YIL046W,0.064,0.196,0.506,
YBR072W,YIL066C,0.092,0.073,0.599,
YBR072W,YIL128W,0.076,0.235,1.0,
YBR072W,YIL142W,0.131,0.409,0.587,385.0
YBR072W,YIL147C,0.271,0.058,0.425,
YBR072W,YJL005W,0.312,0.106,0.599,243.0
YBR072W,YJL098W,0.206,0.235,0.599,
YBR072W,YJL157C,0.18,0.057,1.0,
YBR072W,YJL173C,0.324,0.44,0.306,
YBR072W,YJR035W,0.32,0.045,0.506,
YBR072W,YJR053W,0.064,0.088,0.373,
YBR072W,YJR062C,0.118,0.073,0.599,
YBR072W,YJR076C,0.206,0.191,0.406,
YBR072W,YKL103C,0.097,0.142,0.599,382.0
YBR072W,YKL139W,0.049,0.106,0.283,
YBR072W,YKL193C,0.099,0.064,1.0,
YBR072W,YKR026C,0.077,0.172,0.672,
YBR072W,YKR036C,0.16,0.235,0.599,
YBR072W,YLL011W,0.083,1.0,0.506,
YBR072W,YLR097C,0.079,0.215,0.47,
YBR072W,YLR148W,0.115,0.215,0.395,
YBR072W,YLR175W,0.082,0.087,0.673,
YBR072W,YLR196W,0.082,0.235,0.331,
YBR072W,YLR208W,0.056,0.172,0.306,
YBR072W,YLR320W,0.302,0.235,0.506,300.0
YBR072W,YLR442C,0.076,0.199,0.298,
YBR072W,YML064C,0.206,0.409,0.373,292.0
YBR072W,YML112W,0.097,0.235,0.283,
YBR072W,YML115C,0.095,0.063,0.157,172.0
YBR072W,YMR049C,0.082,0.298,0.331,
YBR072W,YMR055C,0.206,0.088,0.404,
YBR072W,YMR106C,0.64,0.133,0.398,
YBR072W,YMR117C,0.112,0.133,0.235,
YBR072W,YMR284W,0.101,0.032,0.506,
YBR072W,YNL128W,0.157,0.049,1.0,
YBR072W,YNL189W,0.036,0.106,0.506,203.0
YBR072W,YNL290W,0.092,0.589,0.398,
YBR072W,YNL317W,0.097,0.785,0.506,
YBR072W,YNR019W,0.104,0.133,0.157,
YBR072W,YNR031C,0.097,0.133,0.729,
YBR072W,YOL062C,0.048,0.298,0.508,
YBR072W,YOL133W,0.116,0.106,1.0,
YBR072W,YOR125C,0.079,0.196,0.234,
YBR072W,YOR212W,0.18,0.133,0.429,
YBR072W,YOR229W,0.054,0.298,0.784,
YBR072W,YOR231W,0.097,0.052,0.396,189.0
YBR072W,YOR269W,0.045,0.238,0.506,
YBR072W,YOR319W,0.097,0.785,0.506,
YBR072W,YPL150W,0.097,0.087,0.314,
YBR072W,YPL169C,0.038,1.0,0.289,161.0
YBR072W,YPL204W,0.08,0.059,0.398,
YBR072W,YPL259C,0.098,0.238,0.401,
YBR072W,YPR054W,0.066,0.409,0.599,
YBR072W,YPR110C,0.083,0.589,0.295,180.0
YBR072W,YPR137W,0.082,0.673,0.543,
YBR072W,YPR178W,0.103,0.235,0.506,
YBR073W,YBR196C,0.381,0.163,0.74,
YBR073W,YER179W,0.592,0.243,1.0,976.0
YBR073W,YGL213C,0.592,0.282,1.0,275.0
YBR073W,YLR453C,0.54,0.785,0.554,
YBR074W,YER081W,0.256,0.108,0.388,
YBR074W,YJR091C,0.246,0.106,0.504,
YBR074W,YMR083W,0.256,0.284,0.494,161.0
YBR076W,YJR091C,0.097,0.235,0.105,
YBR077C,YGR201C,0.121,1.0,0.125,802.0
YBR077C,YKR007W,1.0,1.0,0.226,999.0
YBR077C,YMR004W,0.071,0.256,0.395,316.0
YBR077C,YOR045W,0.176,0.17,0.561,184.0
YBR078W,YOL133W,0.123,0.383,0.599,186.0
