Protein,I_score,Oscore
YGL105W,53,0.000292195
YNL142W,68,0.000374891
YIL023C,78,0.000430022
YPR003C,41,0.000226037
YPR040W,81,0.000446561
YKL056C,90,0.000496179
YGR031W,42,0.00023155
YOR113W,46,0.000253603
YOL121C,81,0.000446561
YCR042C,72,0.000396944
YNL320W,94,0.000518232
YOL075C,38,0.000209498
YNL130C,49,0.000270142
YHR123W,65,0.000358352
YER074W,95,0.000523745
YIL069C,95,0.000523745
YGR195W,58,0.00031976
YPR045C,56,0.000308734
YHL013C,84,0.000463101
YDL052C,82,0.000452075
YPL100W,22,0.000121288
YGL030W,91,0.000501693
YNL223W,71,0.00039143
YKL110C,73,0.000402457
YOR232W,96,0.000529258
YNR006W,52,0.000286681
YOR332W,94,0.000518232
YPL043W,71,0.00039143
YJR119C,27,0.000148854
YKR030W,78,0.000430022
YKL099C,91,0.000501693
YOR156C,33,0.000181932
YPR094W,92,0.000507206
YKL100C,73,0.000402457
YNL068C,32,0.000176419
YER016W,91,0.000501693
YDL015C,91,0.000501693
YDR299W,76,0.000418996
YDL135C,84,0.000463101
YER154W,79,0.000435535
YBL021C,73,0.000402457
YJR058C,72,0.000396944
YHR176W,86,0.000474127
YHR163W,49,0.000270142
YLR118C,90,0.000496179
YDR221W,73,0.000402457
YJL030W,87,0.00047964
YKL007W,84,0.000463101
YGL244W,71,0.00039143
YDR481C,69,0.000380404
YPR043W,94,0.000518232
YJR094W-A,94,0.000518232
YGR034W,88,0.000485153
YLR344W,78,0.000430022
YMR099C,59,0.000325273
YNL168C,86,0.000474127
YOL093W,96,0.000529258
YPL002C,87,0.00047964
YKL040C,84,0.000463101
YNL244C,90,0.000496179
YPR104C,27,0.000148854
YFL044C,76,0.000418996
YOR007C,77,0.000424509
YJL194W,77,0.000424509
YHR122W,92,0.000507206
YOR298C-A,91,0.000501693
YLR268W,91,0.000501693
YER023W,93,0.000512719
YDR140W,88,0.000485153
YDR386W,71,0.00039143
YCL045C,79,0.000435535
YFL007W,63,0.000347326
YKL221W,41,0.000226037
YOR375C,39,0.000215011
YAL062W,60,0.000330786
YBL058W,73,0.000402457
YIL064W,81,0.000446561
YBR236C,86,0.000474127
YDL141W,53,0.000292195
YGL044C,47,0.000259116
YOR056C,83,0.000457588
YIR002C,42,0.00023155
YHR181W,59,0.000325273
YJR010W,80,0.000441048
YKL009W,93,0.000512719
YJR069C,93,0.000512719
YHL015W,97,0.000534771
YPR187W,85,0.000468614
YCR044C,71,0.00039143
YJL024C,73,0.000402457
YML131W,58,0.00031976
YDR242W,69,0.000380404
YLR168C,56,0.000308734
YOR077W,48,0.000264629
YGR112W,56,0.000308734
YNL135C,58,0.00031976
YNL107W,80,0.000441048
YJR017C,88,0.000485153
YBR074W,33,0.000181932
YGR047C,81,0.000446561
YDR429C,82,0.000452075
YPR036W,74,0.00040797
YKL207W,89,0.000490666
YDR473C,78,0.000430022
YOR306C,43,0.000237063
YBL035C,79,0.000435535
YER014W,66,0.000363865
YNR054C,83,0.000457588
YKR028W,23,0.000126801
YLL036C,48,0.000264629
YMR132C,83,0.000457588
YDR330W,56,0.000308734
YKL041W,81,0.000446561
YJL031C,70,0.000385917
YCR026C,69,0.000380404
YDL230W,76,0.000418996
YGL043W,87,0.00047964
YDR371W,78,0.000430022
YIL156W,10,5.5131E-05
YMR020W,84,0.000463101
YFR010W,66,0.000363865
YDL087C,88,0.000485153
YDR519W,64,0.000352839
YLR133W,73,0.000402457
YPL065W,84,0.000463101
YOR281C,77,0.000424509
YDL219W,85,0.000468614
YOR112W,72,0.000396944
YKR051W,87,0.00047964
YBL026W,77,0.000424509
YOR149C,50,0.000275655
YLR025W,83,0.000457588
YKL028W,84,0.000463101
YNL317W,56,0.000308734
YGR078C,89,0.000490666
YLR275W,89,0.000490666
YEL002C,89,0.000490666
YGR241C,52,0.000286681
YLR448W,82,0.000452075
YOL142W,85,0.000468614
YDR214W,69,0.000380404
YLR215C,67,0.000369378
YNL040W,60,0.000330786
YJL097W,90,0.000496179
YDL075W,66,0.000363865
YOR349W,50,0.000275655
YFR052W,86,0.000474127
YEL037C,86,0.000474127
YHL002W,51,0.000281168
YGL070C,76,0.000418996
YGL080W,72,0.000396944
YHR012W,92,0.000507206
YDR382W,68,0.000374891
YGR187C,74,0.00040797
YIR006C,29,0.00015988
YIR005W,79,0.000435535
YDR001C,51,0.000281168
YBR001C,37,0.000203985
YPR073C,80,0.000441048
YDL191W,97,0.000534771
YDL136W,97,0.000534771
YLL062C,52,0.000286681
YDR298C,88,0.000485153
YDR117C,80,0.000441048
YPR056W,77,0.000424509
YGL241W,66,0.000363865
YPL095C,17,9.37228E-05
YOR123C,73,0.000402457
YJL002C,83,0.000457588
YOR250C,79,0.000435535
YDL104C,74,0.00040797
YDR486C,87,0.00047964
YOL096C,85,0.000468614
YJL046W,69,0.000380404
YFL024C,55,0.000303221
YMR009W,80,0.000441048
YBL057C,90,0.000496179
YCR036W,82,0.000452075
YGL068W,89,0.000490666
YIL052C,81,0.000446561
YMR230W,38,0.000209498
YOR293W,81,0.000446561
YOR194C,65,0.000358352
YLR127C,76,0.000418996
YGR262C,79,0.000435535
YJL079C,59,0.000325273
YGL101W,42,0.00023155
YMR176W,38,0.000209498
YMR201C,57,0.000314247
YOL013C,58,0.00031976
YDL074C,72,0.000396944
YMR292W,83,0.000457588
YDR325W,76,0.000418996
YIL097W,80,0.000441048
YBL097W,77,0.000424509
YOR086C,19,0.000104749
YPR105C,75,0.000413483
YPR186C,62,0.000341812
YBR182C,21,0.000115775
YER049W,62,0.000341812
YOR294W,63,0.000347326
YDL208W,84,0.000463101
YPL010W,88,0.000485153
YDR452W,76,0.000418996
YCL055W,45,0.00024809
YOR111W,70,0.000385917
YGR001C,67,0.000369378
YPR140W,71,0.00039143
YGR172C,92,0.000507206
YPL244C,97,0.000534771
YHR193C,92,0.000507206
YLR061W,78,0.000430022
YIR026C,80,0.000441048
YLR396C,81,0.000446561
YMR015C,73,0.000402457
YAL044C,89,0.000490666
YDR255C,75,0.000413483
YPL169C,71,0.00039143
YNL263C,85,0.000468614
YBR254C,84,0.000463101
YCL008C,60,0.000330786
YMR038C,30,0.000165393
YDR333C,67,0.000369378
YLR337C,29,0.00015988
YGR005C,70,0.000385917
YKL125W,77,0.000424509
YPR025C,74,0.00040797
YGL256W,74,0.00040797
YGR020C,93,0.000512719
YOR210W,79,0.000435535
YDR045C,73,0.000402457
YPL001W,81,0.000446561
YML104C,70,0.000385917
YBL020W,82,0.000452075
YOR274W,83,0.000457588
YNL185C,83,0.000457588
YNR003C,77,0.000424509
YJL085W,52,0.000286681
YGL037C,65,0.000358352
YOR369C,94,0.000518232
YNR036C,74,0.00040797
YOR289W,84,0.000463101
YGR002C,80,0.000441048
YHR076W,88,0.000485153
YDL091C,49,0.000270142
YOL042W,16,8.82097E-05
YAL032C,85,0.000468614
YPR032W,29,0.00015988
YML038C,81,0.000446561
YLR128W,79,0.000435535
YLR147C,81,0.000446561
YPL252C,91,0.000501693
YIL007C,89,0.000490666
YDR485C,56,0.000308734
YLR107W,41,0.000226037
YPL146C,56,0.000308734
YPL210C,68,0.000374891
YBL049W,84,0.000463101
YER173W,49,0.000270142
YNL111C,88,0.000485153
YLR251W,69,0.000380404
YCL033C,86,0.000474127
YBR155W,82,0.000452075
YNL265C,74,0.00040797
YDR005C,48,0.000264629
YBL085W,16,8.82097E-05
YHR007C,82,0.000452075
YGL054C,75,0.000413483
YGR243W,66,0.000363865
YDR264C,71,0.00039143
YJR099W,95,0.000523745
YPR028W,88,0.000485153
YPR183W,79,0.000435535
YLR239C,70,0.000385917
YDR424C,95,0.000523745
YBL034C,12,6.61573E-05
YDL081C,76,0.000418996
YDR484W,82,0.000452075
YLR284C,67,0.000369378
YMR203W,84,0.000463101
YLR427W,79,0.000435535
YLR191W,62,0.000341812
YGR036C,71,0.00039143
YMR125W,62,0.000341812
YML094W,89,0.000490666
YNL062C,84,0.000463101
YLR372W,55,0.000303221
YHR207C,59,0.000325273
YPR192W,64,0.000352839
YPL232W,31,0.000170906
YGR159C,37,0.000203985
YKR080W,84,0.000463101
YER114C,21,0.000115775
YMR253C,29,0.00015988
YNL055C,78,0.000430022
YPL059W,88,0.000485153
YKL082C,57,0.000314247
YJL196C,42,0.00023155
YCR034W,51,0.000281168
YFL030W,82,0.000452075
YLR350W,12,6.61573E-05
YLL050C,88,0.000485153
YJR093C,49,0.000270142
YHR108W,54,0.000297708
YGL232W,66,0.000363865
YLR245C,73,0.000402457
YAL002W,67,0.000369378
YGR249W,17,9.37228E-05
YGR119C,64,0.000352839
YNL027W,38,0.000209498
YDL247W,2,1.10262E-05
YJR160C,2,1.10262E-05
YBR038W,21,0.000115775
YMR218C,41,0.000226037
YBR246W,37,0.000203985
YKR090W,33,0.000181932
YMR077C,78,0.000430022
YGR006W,60,0.000330786
YLR193C,54,0.000297708
YNL305C,86,0.000474127
YNL280C,46,0.000253603
YPL143W,44,0.000242577
YOR234C,60,0.000330786
YHR201C,63,0.000347326
YGR101W,72,0.000396944
YGR037C,87,0.00047964
YOR367W,63,0.000347326
YKL039W,59,0.000325273
YCR077C,40,0.000220524
YDR246W,77,0.000424509
YOR122C,78,0.000430022
YNR020C,67,0.000369378
YLR142W,46,0.000253603
YAL022C,80,0.000441048
YDR435C,86,0.000474127
YNL039W,39,0.000215011
YNR032C-A,75,0.000413483
YGL066W,29,0.00015988
YJR063W,72,0.000396944
YGR027C,85,0.000468614
Q0130,55,0.000303221
YDR183W,86,0.000474127
YOR020C,88,0.000485153
YGL233W,72,0.000396944
YOR236W,69,0.000380404
YOR057W,82,0.000452075
YGL086W,27,0.000148854
YBR135W,87,0.00047964
YOR004W,75,0.000413483
YJR084W,65,0.000358352
YNL026W,58,0.00031976
YKL160W,75,0.000413483
YDL153C,66,0.000363865
YGL001C,77,0.000424509
YGL231C,82,0.000452075
YOL076W,51,0.000281168
YJL124C,65,0.000358352
YJL198W,29,0.00015988
YKL006W,65,0.000358352
YHL001W,74,0.00040797
YLR264W,82,0.000452075
YOR167C,74,0.00040797
YDL142C,72,0.000396944
YLR038C,79,0.000435535
YER027C,25,0.000137828
YGR066C,29,0.00015988
YOR127W,14,7.71835E-05
YLR066W,81,0.000446561
YIR001C,61,0.000336299
YDR419W,75,0.000413483
YMR097C,67,0.000369378
YDL051W,71,0.00039143
YDL217C,77,0.000424509
YOL135C,65,0.000358352
YDR402C,76,0.000418996
YDL082W,58,0.00031976
YMR142C,58,0.00031976
YER040W,21,0.000115775
YLR388W,77,0.000424509
YNL024C-A,60,0.000330786
YER029C,51,0.000281168
YPR095C,15,8.26966E-05
YJL172W,67,0.000369378
YBR004C,70,0.000385917
YGL130W,61,0.000336299
YBL013W,61,0.000336299
YDL008W,57,0.000314247
YBR070C,76,0.000418996
YPL243W,58,0.00031976
YBL102W,72,0.000396944
YPL183C,56,0.000308734
YER163C,85,0.000468614
YGL174W,57,0.000314247
YMR114C,60,0.000330786
YPL037C,88,0.000485153
YOR164C,64,0.000352839
YIL008W,78,0.000430022
YDR397C,71,0.00039143
YDR323C,59,0.000325273
YDL004W,84,0.000463101
YGL240W,80,0.000441048
YOR286W,45,0.00024809
YER057C,69,0.000380404
YIL051C,16,8.82097E-05
YJL136C,58,0.00031976
YKR057W,80,0.000441048
YCR004C,6,3.30786E-05
YDR032C,6,3.30786E-05
YMR002W,69,0.000380404
YOR159C,75,0.000413483
YNL147W,61,0.000336299
YDL043C,79,0.000435535
YPL165C,32,0.000176419
YIL042C,49,0.000270142
YJL104W,73,0.000402457
YDR434W,65,0.000358352
YLR051C,54,0.000297708
YLR026C,69,0.000380404
YDL116W,56,0.000308734
YCL037C,20,0.000110262
YKR013W,20,0.000110262
YNL041C,57,0.000314247
YGL183C,69,0.000380404
YIR012W,37,0.000203985
YKL021C,72,0.000396944
YLR074C,73,0.000402457
YGR093W,80,0.000441048
YFL021W,11,6.06442E-05
YDR407C,49,0.000270142
YKR063C,44,0.000242577
YIL065C,74,0.00040797
YJR050W,65,0.000358352
YGL243W,60,0.000330786
YPL249C-A,87,0.00047964
YDR146C,17,9.37228E-05
YGL023C,17,9.37228E-05
YBL015W,43,0.000237063
YER009W,91,0.000501693
YHL027W,18,9.92359E-05
YLR178C,40,0.000220524
YGR063C,85,0.000468614
YLR241W,48,0.000264629
YBL071W-A,77,0.000424509
YBR093C,21,0.000115775
YBR069C,10,5.5131E-05
YKL058W,78,0.000430022
YJR102C,75,0.000413483
YER183C,71,0.00039143
YDR182W,45,0.00024809
YOL087C,71,0.00039143
YOL041C,30,0.000165393
YOL071W,65,0.000358352
YNL084C,17,9.37228E-05
YHR210C,55,0.000303221
YBR042C,61,0.000336299
YOR224C,97,0.000534771
YNL127W,48,0.000264629
YNL315C,56,0.000308734
YFL017W-A,62,0.000341812
YDR152W,73,0.000402457
YOR278W,58,0.00031976
YDR400W,69,0.000380404
YKL032C,42,0.00023155
YPR065W,49,0.000270142
YOR150W,83,0.000457588
YGL122C,41,0.000226037
YGR095C,65,0.000358352
YER112W,60,0.000330786
YJL010C,69,0.000380404
YDR432W,48,0.000264629
YML095C,34,0.000187446
YDL106C,31,0.000170906
YKL059C,46,0.000253603
YHR072W-A,83,0.000457588
YPL189W,11,6.06442E-05
YBR183W,17,9.37228E-05
YDR167W,65,0.000358352
YFL017C,82,0.000452075
YAL043C,36,0.000198472
YPR129W,74,0.00040797
YNL153C,78,0.000430022
YHL021C,67,0.000369378
YCR045C,6,3.30786E-05
YOR161C,72,0.000396944
YMR028W,81,0.000446561
YHL003C,65,0.000358352
YKR036C,8,4.41048E-05
YDL150W,51,0.000281168
YMR068W,40,0.000220524
YMR274C,57,0.000314247
YML123C,42,0.00023155
YOR327C,58,0.00031976
YOR036W,42,0.00023155
YER146W,82,0.000452075
YDR488C,37,0.000203985
YGL047W,74,0.00040797
YNL148C,74,0.00040797
YOL022C,84,0.000463101
YDL210W,23,0.000126801
YHR039C-A,72,0.000396944
YLL018C-A,58,0.00031976
YMR161W,49,0.000270142
YIL068C,61,0.000336299
YDR510W,95,0.000523745
YML027W,44,0.000242577
YIL112W,45,0.00024809
YOR308C,68,0.000374891
YKL141W,37,0.000203985
YPR067W,80,0.000441048
YOR103C,83,0.000457588
YDR398W,59,0.000325273
YLR438C-A,79,0.000435535
YIL049W,71,0.00039143
YDR143C,25,0.000137828
YGR021W,65,0.000358352
YGL254W,32,0.000176419
YNL141W,79,0.000435535
YAL007C,28,0.000154367
YOR280C,49,0.000270142
YDR168W,63,0.000347326
YPR055W,48,0.000264629
YAL041W,37,0.000203985
YDR057W,16,8.82097E-05
YBR231C,57,0.000314247
YHR040W,43,0.000237063
YML077W,78,0.000430022
YJR122W,61,0.000336299
YGR062C,49,0.000270142
YIL063C,56,0.000308734
YKL091C,16,8.82097E-05
YNL229C,46,0.000253603
YLL061W,5,2.75655E-05
YMR130W,70,0.000385917
YDL193W,53,0.000292195
YJL072C,75,0.000413483
YDL105W,41,0.000226037
YOL068C,20,0.000110262
YOR258W,38,0.000209498
YDR018C,36,0.000198472
YPL046C,80,0.000441048
YIL110W,64,0.000352839
YMR281W,78,0.000430022
YGR080W,77,0.000424509
YPL213W,85,0.000468614
YNL035C,57,0.000314247
YHR051W,69,0.000380404
YNL273W,51,0.000281168
YIL150C,33,0.000181932
YNL328C,40,0.000220524
YLR200W,87,0.00047964
YGR099W,13,7.16704E-05
YER048W-A,65,0.000358352
YDR472W,58,0.00031976
YMR185W,20,0.000110262
YHR202W,23,0.000126801
YGR074W,74,0.00040797
YBL069W,12,6.61573E-05
YKL143W,35,0.000192959
YNL259C,59,0.000325273
YDR529C,71,0.00039143
YLR109W,66,0.000363865
YOR143C,71,0.00039143
YMR212C,23,0.000126801
YHR175W,65,0.000358352
YNR064C,59,0.000325273
YMR310C,37,0.000203985
YLR097C,58,0.00031976
YMR072W,36,0.000198472
YNL312W,75,0.000413483
YPR147C,62,0.000341812
YPL076W,58,0.00031976
YGR208W,70,0.000385917
YML114C,9,4.96179E-05
YEL020W-A,79,0.000435535
YNL284C,77,0.000424509
YJL163C,29,0.00015988
YKL049C,14,7.71835E-05
YOL008W,69,0.000380404
YEL053C,63,0.000347326
YHR144C,32,0.000176419
YHL016C,64,0.000352839
YJR052W,56,0.000308734
YPL127C,56,0.000308734
YKL095W,91,0.000501693
YOR360C,35,0.000192959
YEL003W,91,0.000501693
YBL091C-A,26,0.000143341
YKL192C,77,0.000424509
YDR020C,36,0.000198472
YEL015W,20,0.000110262
YNR046W,87,0.00047964
YEL013W,66,0.000363865
YOL065C,40,0.000220524
YMR269W,40,0.000220524
YJR129C,49,0.000270142
YOR079C,57,0.000314247
YHR121W,61,0.000336299
YIL113W,50,0.000275655
YKR018C,54,0.000297708
YGL246C,68,0.000374891
YNL197C,11,6.06442E-05
YAL020C,41,0.000226037
YGR181W,65,0.000358352
YOL107W,71,0.00039143
YNL252C,53,0.000292195
YGR280C,55,0.000303221
YCR052W,21,0.000115775
YNL253W,36,0.000198472
YFL055W,41,0.000226037
YGL225W,76,0.000418996
YLR016C,34,0.000187446
YKL216W,85,0.000468614
YFR027W,44,0.000242577
YKL117W,83,0.000457588
YDR013W,76,0.000418996
YKL086W,48,0.000264629
YBL046W,12,6.61573E-05
YOL018C,68,0.000374891
YPL162C,56,0.000308734
YGL096W,11,6.06442E-05
YBR158W,13,7.16704E-05
YLR281C,59,0.000325273
YER159C,22,0.000121288
YEL044W,21,0.000115775
YOL146W,60,0.000330786
YPL149W,58,0.00031976
YER074W-A,54,0.000297708
YMR315W,59,0.000325273
YKR053C,30,0.000165393
YML071C,13,7.16704E-05
YJR135W-A,71,0.00039143
YOL114C,69,0.000380404
YHL031C,82,0.000452075
YDR086C,82,0.000452075
YKL053C-A,59,0.000325273
YHR062C,60,0.000330786
YMR227C,62,0.000341812
YDL125C,93,0.000512719
YCR088W,68,0.000374891
YDR200C,20,0.000110262
YBR173C,45,0.00024809
YPL013C,76,0.000418996
YPL098C,56,0.000308734
YDL207W,52,0.000286681
YNL261W,57,0.000314247
YMR005W,10,5.5131E-05
YIL062C,68,0.000374891
YGL018C,66,0.000363865
YMR088C,18,9.92359E-05
YLR325C,86,0.000474127
YDL117W,21,0.000115775
YIL017C,15,8.26966E-05
YPR163C,33,0.000181932
YML013W,7,3.85917E-05
YBR223C,62,0.000341812
YGL191W,63,0.000347326
YLR214W,17,9.37228E-05
YER042W,86,0.000474127
YCR066W,49,0.000270142
YLR201C,56,0.000308734
YGL153W,57,0.000314247
YJL004C,62,0.000341812
YEL019C,12,6.61573E-05
YPL078C,52,0.000286681
YNL182C,47,0.000259116
YLL060C,57,0.000314247
YPR100W,68,0.000374891
YGL154C,26,0.000143341
YER130C,16,8.82097E-05
YBR101C,49,0.000270142
YDR308C,29,0.00015988
YOR075W,22,0.000121288
YML098W,66,0.000363865
YNL044W,56,0.000308734
YLR424W,53,0.000292195
YDR253C,19,0.000104749
YPR168W,66,0.000363865
YOR265W,58,0.00031976
YHR143W-A,64,0.000352839
YJR097W,41,0.000226037
YMR135C,20,0.000110262
YDL182W,46,0.000253603
YDL131W,41,0.000226037
YGR082W,61,0.000336299
YKL016C,53,0.000292195
YPR013C,37,0.000203985
YLR205C,36,0.000198472
YCL016C,58,0.00031976
YPL101W,55,0.000303221
YJL180C,72,0.000396944
YOL031C,25,0.000137828
YER058W,22,0.000121288
YMR010W,54,0.000297708
YBR217W,32,0.000176419
YCR090C,73,0.000402457
YDR511W,61,0.000336299
YJR152W,25,0.000137828
YPR052C,41,0.000226037
YEL009C,33,0.000181932
YNL119W,39,0.000215011
YMR024W,48,0.000264629
YFR003C,36,0.000198472
YLR375W,15,8.26966E-05
YGR033C,43,0.000237063
YNL255C,80,0.000441048
YKL206C,19,0.000104749
YGL255W,25,0.000137828
YGL111W,53,0.000292195
YNL110C,62,0.000341812
YCL057C-A,45,0.00024809
YJR044C,74,0.00040797
YAR015W,64,0.000352839
YDR411C,38,0.000209498
YGL161C,65,0.000358352
YAR008W,45,0.00024809
YCR020C-A,8,4.41048E-05
YFL028C,42,0.00023155
YJL003W,21,0.000115775
YLR181C,37,0.000203985
YJR088C,42,0.00023155
YJR034W,39,0.000215011
YER019C-A,24,0.000132315
YKL155C,49,0.000270142
YPL271W,19,0.000104749
YOR201C,47,0.000259116
YNR008W,70,0.000385917
YOR253W,45,0.00024809
YKR044W,29,0.00015988
YMR276W,83,0.000457588
YJL096W,33,0.000181932
YKR095W-A,14,7.71835E-05
YLR164W,30,0.000165393
YGL129C,21,0.000115775
YLR412W,22,0.000121288
YPR166C,63,0.000347326
YGR032W,16,8.82097E-05
YPL231W,17,9.37228E-05
YKL182W,20,0.000110262
YGR271W,78,0.000430022
YBR218C,33,0.000181932
YER172C,71,0.00039143
YOR151C,90,0.000496179
YOR116C,89,0.000490666
YOR207C,97,0.000534771
YJR109C,28,0.000154367
YDR406W,7,3.85917E-05
YAL026C,54,0.000297708
YDR127W,22,0.000121288
YER166W,21,0.000115775
YPR010C,93,0.000512719
YGL008C,19,0.000104749
YBR115C,43,0.000237063
YNL014W,11,6.06442E-05
YMR109W,70,0.000385917
YJR137C,21,0.000115775
YDR457W,55,0.000303221
YBR023C,27,0.000148854
YGR204W,54,0.000297708
YLL048C,13,7.16704E-05
YMR196W,24,0.000132315
YMR186W,42,0.00023155
YMR162C,12,6.61573E-05
YPL226W,20,0.000110262
YBR295W,7,3.85917E-05
YDR038C,12,6.61573E-05
YAL005C,66,0.000363865
YOR330C,61,0.000336299
YNL163C,64,0.000352839
YGL009C,25,0.000137828
YJL034W,53,0.000292195
YJL200C,16,8.82097E-05
YJR045C,75,0.000413483
YER091C,31,0.000170906
YDR097C,37,0.000203985
YNL209W,14,7.71835E-05
YGR281W,6,3.30786E-05
YNL123W,23,0.000126801
YER069W,29,0.00015988
YGL026C,35,0.000192959
YDR334W,51,0.000281168
YLL026W,32,0.000176419
YDR258C,38,0.000209498
YGL156W,44,0.000242577
YPR074C,83,0.000457588
YLL001W,42,0.00023155
YKR001C,38,0.000209498
YDR291W,31,0.000170906
YGR240C,33,0.000181932
YMR108W,33,0.000181932
YGL163C,28,0.000154367
YBR118W,93,0.000512719
YPR080W,93,0.000512719
YGL006W,26,0.000143341
YOL090W,72,0.000396944
YKR086W,28,0.000154367
YCR017C,38,0.000209498
YLR189C,15,8.26966E-05
YDL215C,29,0.00015988
YDR293C,20,0.000110262
YGR270W,60,0.000330786
YBR208C,56,0.000308734
YJR035W,52,0.000286681
YEL032W,87,0.00047964
YJL012C,29,0.00015988
YLR087C,19,0.000104749
YDR234W,21,0.000115775
YJL005W,25,0.000137828
YKR097W,38,0.000209498
YIL109C,24,0.000132315
YJR016C,33,0.000181932
YER025W,89,0.000490666
YAR042W,36,0.000198472
YLR419W,21,0.000115775
YPL110C,15,8.26966E-05
YOR204W,69,0.000380404
YNL192W,18,9.92359E-05
YJR143C,21,0.000115775
YLR430W,23,0.000126801
YCL030C,29,0.00015988
YGR124W,45,0.00024809
YGL245W,50,0.000275655
YBL017C,34,0.000187446
YNL321W,19,0.000104749
YDR074W,18,9.92359E-05
YBR126C,26,0.000143341
YML056C,56,0.000308734
YIR031C,17,9.37228E-05
YBR248C,34,0.000187446
YBR114W,27,0.000148854
YNL287W,95,0.000523745
YLL034C,41,0.000226037
YNR031C,32,0.000176419
YOR211C,22,0.000121288
YNL104C,16,8.82097E-05
YHR020W,61,0.000336299
YBR169C,17,9.37228E-05
YNL330C,22,0.000121288
YDL095W,14,7.71835E-05
YPR156C,6,3.30786E-05
YER065C,19,0.000104749
YLR197W,85,0.000468614
YDL164C,93,0.000512719
YOR063W,94,0.000518232
YHR072W,54,0.000297708
YPL207W,60,0.000330786
YLR359W,89,0.000490666
YFR030W,28,0.000154367
YHR205W,20,0.000110262
YGL125W,30,0.000165393
YAL019W,31,0.000170906
YER081W,25,0.000137828
YFL034W,38,0.000209498
YGR125W,23,0.000126801
YDR502C,35,0.000192959
YMR304W,76,0.000418996
YLR113W,19,0.000104749
YBR136W,53,0.000292195
YDR270W,19,0.000104749
YOR317W,48,0.000264629
YML057W,45,0.00024809
YKL209C,26,0.000143341
YJL129C,17,9.37228E-05
YER090W,30,0.000165393
YLR138W,19,0.000104749
YDR172W,87,0.00047964
YLL031C,54,0.000297708
YER086W,35,0.000192959
YLR355C,30,0.000165393
YPL265W,20,0.000110262
YDR536W,11,6.06442E-05
YPR002W,34,0.000187446
YKL010C,79,0.000435535
YLR083C,18,9.92359E-05
YNR050C,26,0.000143341
YOR093C,67,0.000369378
YBR263W,14,7.71835E-05
YLR303W,20,0.000110262
YOR310C,87,0.00047964
YDR109C,39,0.000215011
YCR032W,20,0.000110262
YJL138C,68,0.000374891
YKR059W,70,0.000385917
YJL141C,38,0.000209498
YJR033C,33,0.000181932
YIR007W,23,0.000126801
YBR299W,7,3.85917E-05
YOL157C,16,8.82097E-05
YGL253W,22,0.000121288
YOR378W,10,5.5131E-05
YNL059C,21,0.000115775
YHR042W,76,0.000418996
YBR006W,48,0.000264629
YOR128C,37,0.000203985
YGR258C,72,0.000396944
YFL033C,21,0.000115775
YPR159W,17,9.37228E-05
YNR067C,16,8.82097E-05
YPR006C,15,8.26966E-05
YBR073W,13,7.16704E-05
YIL147C,25,0.000137828
YPL023C,15,8.26966E-05
YOL011W,9,4.96179E-05
YNL268W,5,2.75655E-05
YBR025C,24,0.000132315
YLR032W,19,0.000104749
YKL211C,24,0.000132315
YPR111W,13,7.16704E-05
YGL012W,24,0.000132315
YML010W,88,0.000485153
YJL026W,25,0.000137828
YGR087C,4,2.20524E-05
YMR261C,14,7.71835E-05
YPL154C,60,0.000330786
YPL203W,33,0.000181932
YGL148W,36,0.000198472
YKL060C,28,0.000154367
YDL134C,16,8.82097E-05
YKL126W,16,8.82097E-05
YGR170W,19,0.000104749
YPR138C,17,9.37228E-05
YDR021W,70,0.000385917
YOR303W,33,0.000181932
YGR210C,23,0.000126801
YHR039C,20,0.000110262
YJL155C,14,7.71835E-05
YFL004W,9,4.96179E-05
YKL135C,16,8.82097E-05
YNR047W,25,0.000137828
YGL078C,27,0.000148854
YHR113W,23,0.000126801
YBL088C,16,8.82097E-05
YEL070W,8,4.41048E-05
YNR073C,8,4.41048E-05
YDL240W,25,0.000137828
YGR252W,52,0.000286681
YDL047W,12,6.61573E-05
YGL114W,23,0.000126801
YJL087C,18,9.92359E-05
YIL046W,22,0.000121288
YNL277W,29,0.00015988
YBR166C,25,0.000137828
YGL084C,43,0.000237063
YAL012W,23,0.000126801
YCR053W,56,0.000308734
YNL329C,38,0.000209498
YCL018W,20,0.000110262
YIR028W,17,9.37228E-05
YPL091W,57,0.000314247
YGL194C,13,7.16704E-05
YFR038W,24,0.000132315
YER052C,33,0.000181932
YNL275W,74,0.00040797
YGL094C,74,0.00040797
YER095W,58,0.00031976
YDL244W,15,8.26966E-05
YDL174C,66,0.000363865
YPL147W,24,0.000132315
YPR189W,71,0.00039143
YEL060C,27,0.000148854
YBR132C,11,6.06442E-05
YLL028W,16,8.82097E-05
YHR194W,17,9.37228E-05
YOR046C,56,0.000308734
YBL030C,42,0.00023155
YBL007C,27,0.000148854
YPL109C,58,0.00031976
YDR122W,8,4.41048E-05
YHR120W,17,9.37228E-05
YLR163C,55,0.000303221
YBR298C,8,4.41048E-05
YNL212W,30,0.000165393
YBL106C,45,0.00024809
YDR035W,14,7.71835E-05
YBR249C,19,0.000104749
YCR092C,13,7.16704E-05
YIL166C,15,8.26966E-05
YMR129W,19,0.000104749
YBR094W,37,0.000203985
YGL216W,37,0.000203985
YOR388C,19,0.000104749
YEL042W,53,0.000292195
YHR025W,31,0.000170906
YJL102W,45,0.00024809
YKR024C,15,8.26966E-05
